participant_id,allocation_block_id,internal_assignment,status
B-056,B-BLOCK-14,open:layered-flat-layered,UNUSED
B-057,B-BLOCK-15,closed:flat-layered-flat,UNUSED
B-058,B-BLOCK-15,open:flat-layered-flat,UNUSED
B-059,B-BLOCK-15,closed:layered-flat-layered,UNUSED
B-060,B-BLOCK-15,open:layered-flat-layered,UNUSED
B-061,B-BLOCK-16,closed:flat-layered-flat,UNUSED
B-062,B-BLOCK-16,open:flat-layered-flat,UNUSED
B-063,B-BLOCK-16,closed:layered-flat-layered,UNUSED
B-064,B-BLOCK-16,open:layered-flat-layered,UNUSED
B-065,B-BLOCK-17,closed:flat-layered-flat,UNUSED
B-066,B-BLOCK-17,open:flat-layered-flat,UNUSED
B-067,B-BLOCK-17,closed:layered-flat-layered,UNUSED
B-068,B-BLOCK-17,open:layered-flat-layered,UNUSED
B-069,B-BLOCK-18,closed:flat-layered-flat,UNUSED
B-070,B-BLOCK-18,open:flat-layered-flat,UNUSED
B-071,B-BLOCK-18,closed:layered-flat-layered,UNUSED
B-072,B-BLOCK-18,open:layered-flat-layered,UNUSED
B-073,B-BLOCK-19,closed:flat-layered-flat,UNUSED
B-074,B-BLOCK-19,open:flat-layered-flat,UNUSED
B-075,B-BLOCK-19,closed:layered-flat-layered,UNUSED
B-076,B-BLOCK-19,open:layered-flat-layered,UNUSED
B-077,B-BLOCK-20,closed:flat-layered-flat,UNUSED
B-078,B-BLOCK-20,open:flat-layered-flat,UNUSED
B-079,B-BLOCK-20,closed:layered-flat-layered,UNUSED
B-080,B-BLOCK-20,open:layered-flat-layered,UNUSED
B-081,B-BLOCK-21,closed:flat-layered-flat,UNUSED
B-082,B-BLOCK-21,open:flat-layered-flat,UNUSED
B-083,B-BLOCK-21,closed:layered-flat-layered,UNUSED
B-084,B-BLOCK-21,open:layered-flat-layered,UNUSED
B-085,B-BLOCK-22,closed:flat-layered-flat,UNUSED
B-086,B-BLOCK-22,open:flat-layered-flat,UNUSED
B-087,B-BLOCK-22,closed:layered-flat-layered,UNUSED
B-088,B-BLOCK-22,open:layered-flat-layered,UNUSED
B-089,B-BLOCK-23,closed:flat-layered-flat,UNUSED
B-090,B-BLOCK-23,open:flat-layered-flat,UNUSED
B-091,B-BLOCK-23,closed:layered-flat-layered,UNUSED
B-092,B-BLOCK-23,open:layered-flat-layered,UNUSED
B-093,B-BLOCK-24,closed:flat-layered-flat,UNUSED
B-094,B-BLOCK-24,open:flat-layered-flat,UNUSED
B-095,B-BLOCK-24,closed:layered-flat-layered,UNUSED
B-096,B-BLOCK-24,open:layered-flat-layered,UNUSED
B-097,B-BLOCK-25,closed:flat-layered-flat,UNUSED
B-098,B-BLOCK-25,open:flat-layered-flat,UNUSED
B-099,B-BLOCK-25,closed:layered-flat-layered,UNUSED
B-100,B-BLOCK-25,open:layered-flat-layered,UNUSED
B-101,B-BLOCK-26,closed:flat-layered-flat,UNUSED
B-102,B-BLOCK-26,open:flat-layered-flat,UNUSED
B-103,B-BLOCK-26,closed:layered-flat-layered,UNUSED
B-104,B-BLOCK-26,open:layered-flat-layered,UNUSED
B-105,B-BLOCK-27,closed:flat-layered-flat,UNUSED
B-106,B-BLOCK-27,open:flat-layered-flat,UNUSED
B-107,B-BLOCK-27,closed:layered-flat-layered,UNUSED
B-108,B-BLOCK-27,open:layered-flat-layered,UNUSED
B-109,B-BLOCK-28,closed:flat-layered-flat,UNUSED
B-110,B-BLOCK-28,open:flat-layered-flat,UNUSED
B-111,B-BLOCK-28,closed:layered-flat-layered,UNUSED
B-112,B-BLOCK-28,open:layered-flat-layered,UNUSED
B-113,B-BLOCK-29,closed:flat-layered-flat,UNUSED
B-114,B-BLOCK-29,open:flat-layered-flat,UNUSED
B-115,B-BLOCK-29,closed:layered-flat-layered,UNUSED
B-116,B-BLOCK-29,open:layered-flat-layered,UNUSED
B-117,B-BLOCK-30,closed:flat-layered-flat,UNUSED
B-118,B-BLOCK-30,open:flat-layered-flat,UNUSED
B-119,B-BLOCK-30,closed:layered-flat-layered,UNUSED
B-120,B-BLOCK-30,open:layered-flat-layered,UNUSED
B-121,B-BLOCK-31,closed:flat-layered-flat,UNUSED
B-122,B-BLOCK-31,open:flat-layered-flat,UNUSED
B-123,B-BLOCK-31,closed:layered-flat-layered,UNUSED
B-124,B-BLOCK-31,open:layered-flat-layered,UNUSED
B-125,B-BLOCK-32,closed:flat-layered-flat,UNUSED
B-126,B-BLOCK-32,open:flat-layered-flat,UNUSED
B-127,B-BLOCK-32,closed:layered-flat-layered,UNUSED
B-128,B-BLOCK-32,open:layered-flat-layered,UNUSED
B-129,B-BLOCK-33,closed:flat-layered-flat,UNUSED
B-130,B-BLOCK-33,open:flat-layered-flat,UNUSED
B-131,B-BLOCK-33,closed:layered-flat-layered,UNUSED
B-132,B-BLOCK-33,open:layered-flat-layered,UNUSED
B-133,B-BLOCK-34,closed:flat-layered-flat,UNUSED
B-134,B-BLOCK-34,open:flat-layered-flat,UNUSED
B-135,B-BLOCK-34,closed:layered-flat-layered,UNUSED
B-136,B-BLOCK-34,open:layered-flat-layered,UNUSED
B-137,B-BLOCK-35,closed:flat-layered-flat,UNUSED
B-138,B-BLOCK-35,open:flat-layered-flat,UNUSED
B-139,B-BLOCK-35,closed:layered-flat-layered,UNUSED
B-140,B-BLOCK-35,open:layered-flat-layered,UNUSED
B-141,B-BLOCK-36,closed:flat-layered-flat,UNUSED
B-142,B-BLOCK-36,open:flat-layered-flat,UNUSED
B-143,B-BLOCK-36,closed:layered-flat-layered,UNUSED
B-144,B-BLOCK-36,open:layered-flat-layered,UNUSED
